Row	Col	ControlType	ProbeName	SystematicName	logFC	t	P.Value	adj.P.Val	B
6063	74	77	0	A_07_P008371	b0336	-4.53427152028783	-28.8192216819641	5.46620523636229e-09	8.0660020182934e-07	11.5841363650436
1929	24	43	0	A_07_P059701	ECs4052	-5.00241024942948	-28.7408956229742	5.57860190451526e-09	8.0660020182934e-07	11.5649907661368
6509	80	31	0	A_07_P013849	b2312	-3.24488187276373	-28.7122809556746	5.62031390632775e-09	8.0660020182934e-07	11.5579792206518
7604	93	60	0	A_07_P001770	b1113	-3.829177328756	-28.5065131743221	5.9308742145241e-09	8.38466277014512e-07	11.5072874423755
14369	176	19	0	A_07_P051711	Z0995	-5.53532915649981	-28.2944288950448	6.27145160342919e-09	8.60847122933868e-07	11.4545352065808
6968	85	80	0	A_07_P012193	b3012	-3.71222861577037	-28.1414587766371	6.53084879508514e-09	8.60847122933868e-07	11.4161647761566
1869	23	65	0	A_07_P006174	b2838	-3.60334459882184	-28.1280072776386	6.55423376153467e-09	8.60847122933868e-07	11.4127776464115
13873	170	15	0	A_07_P034971	c_1922	-4.17051538057609	-28.1161110470188	6.57499391835462e-09	8.60847122933868e-07	11.4097803790731
11657	143	13	0	A_07_P052163	Z4813	-3.70590810097423	-28.0991701293927	6.60468612454246e-09	8.60847122933868e-07	11.4055092452337
8555	105	27	0	A_07_P003818	b4254	-3.61303732065478	-28.0822548875177	6.63448479457056e-09	8.60847122933868e-07	11.4012412374729
11983	147	11	0	A_07_P037451	c_4964	-4.20041124415369	-27.993541890446	6.79327841817471e-09	8.69539637526363e-07	11.3788024971806
6895	85	7	0	A_07_P001825	b2670	4.20398697178871	27.9133719005986	6.94048755260444e-09	8.76537307976923e-07	11.3584449166871
11286	138	52	0	A_07_P041072	c_0993	-5.50759976634082	-27.4106050187451	7.95032756967924e-09	9.67137108175634e-07	11.2290264832519
2327	29	31	0	A_07_P010149	b0726	-3.43093676516075	-27.3796823098264	8.0176692842743e-09	9.67137108175634e-07	11.2209666500801
10793	132	51	0	A_07_P052779	Z4240	-3.50445880634283	-27.3577537552955	8.06581517937159e-09	9.67137108175634e-07	11.2152439869365
9944	122	22	0	A_07_P004426	b0795	-3.87016615852204	-27.3575414579419	8.06628289124526e-09	9.67137108175634e-07	11.2151885551461
9224	113	40	0	A_07_P030133	c_3018	-3.55516747030626	-27.2310734151865	8.35043849201524e-09	9.88466266670662e-07	11.1820684941896
10236	125	68	0	A_07_P030063	c_2959	-6.72666578132159	-27.1866658749042	8.45288931591254e-09	9.88466266670662e-07	11.1703919095291
2253	28	39	0	A_07_P018691	b1729	-4.27218253795266	-27.1210051353768	8.60698917624087e-09	9.94212213138458e-07	11.1530820453844
3567	44	41	0	A_07_P053197	ECs3196	-3.23972485300788	-27.0161910399198	8.85961112024116e-09	1.01106309073403e-06	11.1253387155018
14724	180	46	0	A_07_P009551	b1493	-4.34919298875314	-26.8309936672406	9.32675386244254e-09	1.05170253077447e-06	11.0759803853584
9673	118	79	0	A_07_P008405	b0342	-3.29398290277762	-26.7620034358235	9.50785061990773e-09	1.05907369517046e-06	11.0574819225258
6636	81	76	0	A_07_P010572	b3242	4.19728026810991	26.7216032155648	9.61574512084666e-09	1.05907369517046e-06	11.0466210908059
7664	94	38	0	A_07_P012146	b3003	-3.9805873745797	-26.6338932481807	9.8547891811962e-09	1.07292601292288e-06	11.0229697656861
1123	14	57	0	A_07_P016609	b0569	3.69238587759486	26.4640060775478	1.03371729460814e-08	1.09965771226516e-06	10.9768760394773
11512	141	32	0	A_07_P016211	b0485	-3.91532328349064	-26.4624105669996	1.03418281873936e-08	1.09965771226516e-06	10.9764413661269
12159	149	23	0	A_07_P018708	b1732	-5.00464285753604	-26.3241774000945	1.07543060550691e-08	1.09965771226516e-06	10.9386551176719
10343	127	11	0	A_07_P001896	b2685	3.11146733208423	26.3155944357968	1.07805243731439e-08	1.09965771226516e-06	10.9363006653613
13241	162	39	0	A_07_P003774	b4244	-4.39111415351054	-26.2965335822424	1.08390084472072e-08	1.09965771226516e-06	10.9310684726443
2619	32	77	0	A_07_P032879	c_3483	-3.67215257734073	-26.2781411951144	1.08957819776394e-08	1.09965771226516e-06	10.9260152215893
10996	135	8	0	A_07_P008499	b3959	-4.8037969721109	-26.2725884335023	1.09129882762801e-08	1.09965771226516e-06	10.9244887381409
9784	120	26	0	A_07_P018317	b3460	-4.47144490592192	-26.1250576153841	1.13815955219986e-08	1.12652755916434e-06	10.8837817477914
1417	18	23	0	A_07_P012673	b3240	3.64864132055638	26.1140356171471	1.14175090455846e-08	1.12652755916434e-06	10.8807288857506
13939	170	81	0	A_07_P047211	Z5583	-4.57393044978999	-25.9801026533958	1.18643112932853e-08	1.15422597331549e-06	10.8435019422175
13997	171	57	0	A_07_P018159	b3426	-5.29283943184264	-25.9574123447205	1.19419494705361e-08	1.15422597331549e-06	10.8371711732927
661	9	5	0	A_07_P018744	b1739	-3.9507370924919	-25.880771155382	1.22084694325014e-08	1.1614951890727e-06	10.8157361079341
11592	142	30	0	A_07_P019771	b2574	-3.62734513531502	-25.8654910366796	1.22624069792304e-08	1.1614951890727e-06	10.8114530087505
3857	48	3	0	A_07_P007703	b3555	-3.78069792457503	-25.7040225417263	1.28491606113989e-08	1.20502227040763e-06	10.7659974282136
