Gene	RNASeq18MM-1-uP	RNASeq18MM-2-uP	RNASeq18MM-3-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP
ECs1288	213	170	288	189	134	168
ECs1289	419	480	604	443	437	549
ECs1290	305	285	463	204	190	183
ECs1291	116	80	220	123	108	122
ECs1292	52	78	99	56	52	60
ECs1293	67	46	67	39	24	18
ECs1294	61	66	149	67	52	62
ECs1295	21	14	29	36	14	13
ECs1296	136	155	198	121	120	158
ECs1297	28	25	28	17	13	31
ECs1298	113	101	245	221	174	158
ECs1299	410	260	689	409	299	338
ECs1300	458	504	694	315	284	375
ECs1301	127	184	191	187	173	180
ECs1302	239	273	375	198	182	221
ECs1303	355	373	554	433	410	464
ECs1304	41	45	90	100	80	68
ECs1305	2419	2685	3905	2037	1665	1758
ECs1306	871	948	1268	1091	978	1206
ECs1307	9214	9257	8706	7011	8251	10173
ECs1308	386	310	326	376	388	660
ECs1309	280	306	406	369	303	400
ECs1310	192	198	298	167	138	176
ECs1311	585	679	829	686	651	749
ECs1312	251	289	405	197	189	180
ECs1313	31	3	16	17	14	7
ECs1314	17	6	25	18	14	8
ECs1315	21	21	24	16	20	22
ECs1316	256	261	381	275	297	408
ECs1317	498	507	688	378	364	425
ECs1318	8	17	44	27	26	26
ECs1319	202	134	306	211	117	136
ECs1320	237	349	475	397	318	415
ECs1321	1194	1272	1860	1773	1570	1738
ECs1322	508	606	709	506	508	540
ECs1323	490	488	619	424	451	484
ECs1324	3532	3340	4608	3340	3102	3679
ECs1325	472	454	629	530	401	567
ECs1326	575	441	438	374	542	751
ECs1327	662	774	894	671	494	635
ECs1328	789	970	1086	350	359	395
ECs1329	670	790	987	197	184	225
ECs1330	4283	5105	6468	4516	3938	4668
ECs1331	12768	10291	29566	17923	16269	21433
ECs1332	826	935	1012	399	462	431
ECs1333	648	902	996	335	347	263
ECs1334	1647	1832	2456	2284	2207	2551
ECs1335	1087	1254	1573	2663	2419	2921
ECs1336	362	323	353	455	386	457
ECs1337	296	295	374	228	209	223
ECs1338	127	224	226	202	187	208
ECs1339	2163	2365	3152	1730	1506	1783
ECs1340	1356	1815	2067	2017	1791	2031
ECs1341	357	328	435	364	294	321
ECs1342	392	361	513	345	318	388
ECs1343	1075	1434	1622	1306	1140	1184
ECs1344	1935	2310	2543	1643	1641	1935
ECs1345	1057	1300	1571	1162	906	1129
ECs1346	516	617	750	623	526	604
ECs1347	203	215	228	199	189	243
ECs1348	319	344	490	415	323	322
ECs1349	381	322	448	464	405	482
ECs1350	440	405	699	678	474	537
ECs1351	1562	1850	2307	1679	1563	1864
ECs1352	2047	2471	3166	2301	1954	2458
ECs1353	807	1007	1284	814	640	771
ECs1354	3965	4771	6106	3570	3017	3367
ECs1355	6751	8220	11128	3472	3012	3537
ECs1356	7534	9028	12630	3461	3179	3755
ECs1357	482	488	719	346	267	308
ECs1358	2223	2547	3581	1174	987	1050
ECs1359	4546	4639	6702	2126	1990	2012
ECs1360	932	884	1344	719	660	658
ECs1361	2	1	5	6	8	5
ECs1362	152	176	252	146	129	212
ECs1363	156	159	208	235	239	214
ECs1364	235	279	389	328	322	340
ECs1365	310	295	509	395	360	441
ECs1366	672	764	1190	651	605	653
ECs1367	382	431	586	571	505	548
ECs1368	59	35	96	82	70	79
ECs1369	150	118	195	96	67	74
ECs1370	243	242	401	258	209	208
ECs1371	56	68	85	100	62	96
ECs1372	203	236	253	257	198	262
ECs1373	364	479	531	274	277	313
ECs1374	171	155	268	131	176	202
ECs1375	19	12	25	135	91	127
ECs1376	472	491	752	1988	1694	2046
ECs1377	887	1022	1532	1930	1699	1998
ECs1378	1721	2194	2813	2091	2071	2467
ECs1379	1030	1247	1653	1492	1336	1500
ECs1380	1449	1522	1953	1573	1410	1611
ECs1381	389	472	545	332	313	359
ECs1382	226	229	329	278	207	233
ECs1383	54	52	61	56	44	46
ECs1384	133	169	274	159	131	141
ECs1385	4	11	18	5	5	7
ECs1386	244	313	429	299	215	288
ECs1387	113	72	182	128	78	78
ECs1388	135	153	250	71	107	102
ECs1389	121	63	137	107	73	94
ECs1390	22	37	45	55	19	27
ECs1391	541	698	946	592	543	601
ECs1392	10	20	22	31	22	27
ECs1393	189	255	261	250	200	250
ECs1394	48	58	94	75	103	96
ECs1395	47	77	78	68	55	84
ECs1396	1319	1523	1425	1378	1416	1871
ECs1397	1212	1285	1969	1160	899	996
ECs1398	451	363	617	359	292	345
ECs1399	438	397	609	396	313	342
ECs1400	413	526	752	242	259	252
ECs1401	76	96	148	116	95	111
ECs1402	132	149	148	125	151	139
ECs1403	187	226	209	166	183	214
ECs1404	267	370	467	257	239	241
ECs1405	341	323	365	209	235	298
ECs1406	109	155	209	139	111	127
ECs1407	335	455	644	427	345	425
ECs1408	190	209	305	112	132	128
ECs1409	1196	1319	1842	1036	962	1137
serX	257	306	509	460	412	522
ECs1410	3928	4708	6027	3458	2899	3527
ECs1411	8453	8881	13462	6635	5691	6583
ECs1412	7018	7438	10947	5802	5240	5944
ECs1413	4927	5047	5159	6404	6919	8269
ECs1414	592	716	1199	1338	1170	1394
ECs1415	57	60	199	47	43	35
ECs1416	82	105	239	50	41	67
ECs1417	404	426	893	219	213	262
ECs1418	8	6	11	11	22	18
ECs1419	35	19	78	19	15	33
ECs1420	90	129	254	71	72	87
ECs1421	75	75	105	98	58	87
ECs1422	174	168	242	445	396	456
ECs1423	1365	1523	1914	707	737	903
ECs1424	1847	1741	2785	1235	840	1019
ECs1425	2208	2288	3491	3564	3566	3911
ECs1426	14992	14462	21108	11352	9522	11330
ECs1427	20811	20634	26465	20322	19423	23159
ECs1428	1672	1528	3020	378	348	354
ECs1429	3222	2385	5836	153	90	126
ECs1430	0	0	0	0	0	0
ECs1431	138	119	189	240	187	194
ECs1432	5289	3306	7695	5536	4509	4761
ECs1433	13955	13351	23209	15792	14681	15643
ECs1434	4683	5536	6717	1117	1025	1245
ECs1435	1311	1182	1349	257	293	382
ECs1436	72	84	117	38	37	54
ECs1437	4703	5917	6940	2516	2237	2664
ECs1438	8267	8801	10660	5404	4724	5645
ECs1439	2835	2983	4666	1472	1448	1828
ECs1440	20113	18440	31236	2590	2575	3245
ECs1441	4274	5108	6727	1812	1581	1897
ECs1442	7585	8777	12297	1264	1125	1446
ECs1443	648	523	937	1236	1078	1291
ECs1444	1385	1601	2368	1061	886	969
ECs1445	1102	1146	1692	761	600	730
ECs1446	1559	1327	2064	836	857	909
ECs1447	2716	2730	3865	3947	3351	4203
ECs1448	1028	1378	1099	754	633	608
ECs1449	808	1248	808	421	448	350
ECs1450	417	394	634	272	252	273
ECs1451	66	110	49	31	23	24
ECs1452	60	97	61	33	33	22
ECs1453	213	303	275	122	118	143
ECs1454	665	854	867	325	264	323
ECs1455	158	133	118	44	52	67
ECs1456	217	300	284	172	166	152
ECs1457	91	141	95	75	82	70
ECs1458	160	148	168	95	92	92
ECs1459	103	173	194	76	82	77
ECs1460	1671	2631	1384	1037	739	525
ECs1461	2120	3212	2323	1829	1662	1633
ECs1462	37682	40500	45200	51001	50168	61432
ECs1463	5962	7130	9783	7125	6651	7395
ECs1464	4696	3773	7783	11445	9171	10374
ECs1465	8170	9600	13587	3402	3204	3903
ECs1466	117467	140016	195383	266053	253617	297280
ECs1467	74284	88799	129417	121319	112556	134966
ECs1468	28209	30338	44403	37043	33815	39729
ECs1469	14945	8424	22141	21437	15032	16718
ECs1470	23190	18810	26075	20512	18898	21496
ECs1471	63534	57794	77977	49031	49133	67722
ECs1472	123331	135246	200776	119589	108150	126894
ECs1473	67849	68049	103202	80595	72084	82801
ECs1474	1053	639	1805	1273	699	861
ECs1475	2362	2578	3327	2777	2553	3203
ECs1476	3158	3457	4392	4020	3491	4133
ECs1477	5171	6106	7237	6383	6481	7993
ECs1478	13692	15909	20461	7371	6784	7932
ECs1479	22570	23276	35136	71615	64847	75073
ECs1480	1079	1220	1638	1332	1199	1469
ECs1481	5207	6382	8166	2501	2277	2670
ECs1482	4656	5585	7065	2179	1940	2288
ECs1483	6062	6053	7123	1998	2071	2894
ECs1484	1796	1883	2624	1299	1022	1399
ECs1485	3776	3658	5529	2685	2101	2542
ECs1486	4095	4473	6454	2090	1655	1855
ECs1487	3324	2527	5155	9272	5766	6909
ECs1488	3772	5613	3579	2566	2233	2570
ECs1489	1440	1369	1987	1155	1053	1012
ECs1490	863	1015	1600	2156	2036	2658
ECs1491	8459	7467	13019	598	557	663
ECs1492	18595	17413	22980	9763	9570	12109
ECs1493	213	315	346	180	169	211
ECs1494	4227	4211	5736	5372	5090	6269
ECs1495	3252	2769	4090	3595	3167	4034
ECs1496	5068	5289	8208	6122	5192	5754
ECs1497	4390	4613	6191	3805	3299	4011
ECs1498	4617	4256	7201	3387	2624	2923
ECs1499	15814	16337	25198	9781	7969	9040
ECs1500	5003	5227	7896	6196	5095	6040
ECs1501	856	1064	1505	609	514	591
ECs1502	185	200	269	112	145	155
ECs1503	385	374	658	271	245	341
ECs1504	692	865	1278	549	493	628
ECs1505	248	276	484	280	266	340
ECs1506	4213	5060	6604	5916	5644	7090
ECs1507	66	104	172	135	139	162
ECs1508	90	93	170	77	63	75
ECs1509	160	154	228	103	83	103
ECs1510	51	29	75	39	32	36
ECs1511	63	78	130	61	34	39
ECs1512	28	14	46	37	22	9
ECs1513	27	35	33	16	14	21
ECs1514	28	39	46	17	14	14
ECs1515	64	31	104	66	45	63
ECs1516	198	165	300	161	124	171
ECs1517	40	44	77	35	33	52
ECs1518	392	456	609	335	307	365
ECs1519	1605	2099	2762	1570	1609	1922
ECs1520	5223	5924	10015	7993	8489	11110
ECs1521	137	151	170	319	280	343
ECs1522	264	340	457	456	379	473
ECs1523	69	76	105	57	48	96
ECs1524	893	1059	1511	747	556	669
ECs1526	1395	1253	2525	2741	1805	2005
ECs1525	12	16	26	19	7	14
ECs1527	1257	1343	1926	1340	1221	1274
ECs1528	38	21	49	21	24	20
ECs1529	25	25	44	22	24	12
ECs1530	22	9	58	21	10	21
ECs1531	108	82	155	97	59	59
ECs1532	156	146	218	170	137	119
ECs1533	120	135	131	125	113	99
ECs1534	127	119	222	81	73	102
ECs1535	0	0	0	0	0	0
ECs1536	133	152	211	117	88	77
ECs1537	412	467	684	328	341	399
ECs1538	138	114	200	219	133	143
ECs1539	672	631	1079	730	631	565
ECs1540	190	129	203	166	142	138
ECs1541	123	107	189	136	98	102
ECs1542	250	186	271	221	208	191
ECs1543	216	232	184	146	160	148
ECs1544	863	737	1254	650	487	602
ECs1545	116	64	198	78	45	39
ECs1546	98	42	68	36	42	52
ECs1547	165	76	202	105	62	81
ECs1548	59	31	49	26	12	16
ECs1549	299	260	489	221	218	217
ECs1550	153	89	181	111	102	63
ECs1551	95	64	95	76	65	43
ECs1552	23	23	30	18	16	15
ECs1553	412	298	480	280	213	182
ECs1554	41	48	55	29	14	17
ECs1555	1339	1435	1731	1291	1386	1834
ECs1556	2523	2853	4213	2822	2620	3106
ECs1557	645	714	1070	498	499	596
ECs1558	132	121	126	115	100	167
ECs1559	36	32	69	36	30	31
ECs1560	417	550	735	359	314	320
ECs1561	739	760	1393	1270	995	1137
ECs1562	38	41	44	69	53	50
ECs1563	285	317	461	560	517	582
ECs1564	1436	1608	1910	1454	1172	1382
ECs1565	581	618	775	536	507	534
ECs1566	426	485	675	418	345	406
ECs1567	453	492	637	556	519	462
ECs1568	1005	1138	1333	1629	1392	1584
ECs1569	161	127	200	220	244	227
ECs1570	4663	5061	6911	6723	5333	6112
ECs1571	19785	23610	29466	35837	32694	35475
ECs1572	7733	8388	11941	2290	2135	2372
ECs1573	20816	22476	31932	9762	9124	10743
ECs1574	1008	926	1882	713	465	573
ECs1575	200	206	333	657	521	620
ECs1576	3616	4255	5938	6021	5177	6479
ECs1577	24	15	31	24	17	17
ECs1578	21	11	19	10	11	9
ECs1579	7	14	24	14	4	4
ECs1580	24	35	36	13	10	12
ECs1581	6	9	14	8	0	0
ECs1582	51	36	146	56	22	32
ECs1583	34	19	33	21	11	13
ECs1584	86	59	141	71	47	43
ECs1585	43	48	74	25	28	17
ECs1586	18	18	29	15	8	4
ECs1587	29	13	50	19	18	16
ECs1588	30	24	75	28	8	13
ECs1589	606	747	1005	263	240	291
ECs1590	440	335	649	483	321	318
ECs1591	130	89	227	113	79	90
ECs1592	372	267	452	238	215	229
ECs1593	109	101	151	58	63	60
ECs1594	79	62	106	51	51	49
ECs1595	99	89	152	57	64	73
ECs1596	86	103	115	82	77	45
ECs1597	218	265	321	185	158	165
ECs1598	1351	1120	1948	1091	862	1117
ECs1599	396	406	602	355	287	312
ECs1600	863	920	1380	845	737	799
ECs1601	9100	9920	13163	7229	6394	7201
ECs1602	8481	8001	12337	4687	3931	4290
ECs1603	82842	82594	114873	20321	18647	21439
ECs1604	10880	9973	11481	8341	9220	12407
ECs1605	39473	45241	59278	57400	52628	59947
ECs1606	4053	4113	6303	4378	3653	4246
ECs1607	4165	3893	5995	5160	5120	5366
ECs1608	220163	208748	332513	55760	52711	53761
ECs1609	394	435	476	317	271	273
ECs1610	31	48	39	30	20	22
ECs1611	1196	1127	681	605	681	333
ECs1612	855	831	577	534	429	257
ECs1613	88	109	126	33	29	52
ECs1614	546	666	936	1096	998	1180
ECs1615	212	190	366	270	194	247
ECs1616	121	116	113	118	86	90
ECs1617	20	16	14	10	11	8
ECs1618	44	56	43	36	45	23
ECs1619	107	118	144	80	50	69
ECs1620	187	213	219	127	87	112
ECs1621	131	152	169	136	128	150
ECs1622	218	322	386	291	284	321
ECs1623	121	124	201	151	107	168
ECs1624	0	0	0	0	0	0
ECs1625	802	1126	1300	866	849	990
ECs1626	36	26	62	69	86	74
ECs1627	126	154	193	196	167	189
ECs1628	117	149	211	244	177	223
ECs1629	159	118	291	214	142	127
ECs1630	480	430	730	566	391	477
ECs1631	39	58	69	46	40	38
ECs1632	502	480	590	443	443	665
ECs1633	223	224	208	170	219	263
ECs1634	121	82	86	24	69	74
ECs1635	254	224	273	130	153	159
ECs1636	43	60	63	55	35	31
ECs1637	59	74	67	45	40	39
ECs1638	98	67	171	87	74	59
ECs1639	139	165	221	99	94	94
ECs1640	161	140	131	97	104	122
ECs1641	132	163	203	111	67	97
ECs1642	68	50	129	50	51	55
ECs1643	654	501	632	393	363	458
ECs1644	59	62	60	50	53	44
ECs1645	174	168	237	136	108	130
ECs1646	80	49	94	32	30	61
ECs1647	111	86	150	63	68	60
ECs1648	1491	1474	1760	994	993	1211
ECs1649	245	190	288	157	155	146
ECs1650	699	748	897	658	709	759
ECs1651	213	224	333	211	160	184
ECs1652	9355	8874	13302	794	689	787
ECs1653	4844	5104	6592	178	171	156
ECs1654	6221	6908	8121	129	128	168
ECs1655	8159	9991	9606	310	254	281
ECs1656	2628	2942	4031	1046	901	1118
ECs1657	127	165	190	76	96	126
ECs1658	69	94	89	99	95	94
ECs1659	103	86	80	96	104	166
ECs1660	911	941	857	747	787	1033
ECs1661	22	25	27	28	36	32
ECs1662	2254	2621	3556	2380	2237	2889
ECs1663	3573	4011	6140	1667	1407	1742
ECs1664	9530	10817	16047	8181	6816	8535
ECs1665	1627	1845	2283	1042	998	1256
ECs1666	3223	3538	4940	2666	2224	2655
ECs1667	6618	5269	10248	6343	4240	4988
ECs1668	5186	5825	8833	3734	3292	4105
ECs1669	21264	24236	34837	14860	12896	15667
ECs1670	14365	16435	23633	13928	12442	15066
ECs1671	1529	1280	2694	902	652	820
ECs1672	699	675	1164	539	475	608
ECs1673	81	64	168	68	52	83
ECs1674	5873	6434	10336	4997	4389	5494
ECs1675	15205	16256	22228	7637	7517	9393
ECs1676	5960	6413	10448	7843	6934	8211
ECs1677	298	307	561	600	541	699
ECs1678	933	924	1804	820	624	1064
ECs1679	1566	1607	3164	2076	1532	2057
ECs1680	9352	11386	13695	10152	8685	10183
ECs1681	10123	12306	15504	15097	13167	15994
ECs1682	11517	12884	16944	12350	10816	13282
ECs1683	38528	47296	65124	1388	1324	1388
ECs1684	3795	2708	3971	2140	2119	2728
ECs1685	1867	1334	1568	976	1142	1514
ECs1686	8136	8704	11725	5598	5068	6479
ECs1688	3854	4344	6453	2515	2112	2483
ECs1687	4697	4992	8136	4973	3958	4920
ECs1689	2191	2710	2610	1811	1640	1697
ECs1690	214	299	274	170	128	141
ECs1691	1489	2072	1434	578	464	364
ECs1692	914	876	1085	94	73	103
ECs1693	868	966	1281	475	449	438
ECs1694	79	105	157	90	91	78
ECs1695	20	10	12	9	10	15
ECs1696	175	199	294	146	147	237
ECs1697	309	278	435	266	194	299
ECs1698	377	409	569	379	324	363
ECs1699	345	411	472	288	308	381
ECs1700	16	12	32	50	27	34
ECs1701	1158	1233	1887	402	326	342
ECs1702	1317	1360	2199	126	92	110
ECs1703	2303	2197	3519	1943	1553	1683
ECs1704	1053	850	1178	667	623	604
ECs1705	2117	1520	2591	1463	1209	1136
ECs1706	2802	2962	4475	1160	967	1092
ECs1707	3882	3719	5390	6743	5286	4820
ECs1708	38213	41532	57147	63081	55889	59106
ECs1709	6500	7361	9101	9402	8541	9208
ECs1710	2774	3387	5048	1023	1004	1225
ECs1711	7898	8552	10847	24399	22511	26856
ECs1712	120364	131685	172172	110288	100858	108721
ECs1713	30895	32044	44865	26578	24157	27024
ECs1714	9634	10154	15210	6057	5150	6464
ECs1715	20300	20570	28430	27417	25757	33206
ECs1716	14957	14790	21415	18277	17548	22262
ECs1717	6258	6160	8497	8747	8087	11120
ECs1718	2050	2169	3525	3869	3319	3967
ECs1719	11240	12671	17828	20703	18028	21142
ECs1720	29725	30935	43826	29626	27723	35269
ECs1721	22728	27342	31981	9171	8290	9030
ECs1722	3197	3548	5079	337	271	304
ECs1723	7565	6310	9111	3484	2961	3325
ECs1724	3456	3565	5346	1503	1365	1552
ECs1725	1374	1338	1714	1034	1043	1147
ECs1726	8209	8604	12165	5152	5073	5832
ECs1727	10779	11528	15537	10718	10981	13204
ECs1728	535	537	733	393	284	262
ECs1729	2019	2730	2589	1850	1516	1487
ECs1730	1544	1646	2043	1768	1421	1546
ECs1731	470	414	534	390	373	489
ECs1732	1319	1666	2040	724	603	725
ECs1733	593	372	396	638	864	1285
tyrV	4280	4631	6930	8077	7821	9339
tyrT	4543	4683	7290	7302	7301	8743
ECs1734	16691	13666	28871	10390	8488	9667
ECs1735	5950	6172	10084	6350	5570	6702
ECs1736	19144	18108	29787	8051	6514	7166
ECs1737	20862	21475	32021	6278	5218	6053
ECs1738	33007	37035	50463	19545	16759	18806
ECs1739	133241	158879	230283	111385	101373	125260
ECs1740	2809	2961	4645	3424	3192	3512
ECs1741	192828	203316	257394	54626	48218	54606
ECs1742	1868	2190	2811	3939	3235	3660
ECs1743	14571	17879	20677	8562	7974	8965
ECs1744	1644	1429	2357	1412	1304	1303
ECs1745	2337	2329	3255	3224	2701	3098
ECs1746	2954	3246	4368	4247	3635	3933
ECs1747	4412	4303	6901	6404	5144	5693
ECs1748	7571	4144	13772	7986	5400	5948
ECs1749	7631	7947	10950	5311	4777	5154
ECs1750	3926	4321	6815	2244	2151	2725
ECs1751	5271	5698	9343	1591	1371	1685
ECs1752	2845	2718	2697	1605	1693	2430
ECs1753	4185	4614	6876	9190	8450	10278
ECs1754	9641	11712	14703	12703	11491	12703
ECs1755	13480	14847	19554	17309	15130	16689
ECs1756	302	340	600	172	146	164
ECs1757	874	983	1589	414	353	476
ECs1758	408	566	738	378	376	391
ECs1759	1451	1366	2555	1010	865	1293
ECs1760	33	25	121	31	13	69
ECs1761	31	33	104	35	22	67
dicF4	37	33	168	40	33	139
ECs1762	193	205	625	166	170	414
ECs1763	176	229	707	190	170	464
ECs1764	386	427	756	417	350	486
ECs1765	2179	2608	3658	3183	2955	3575
ECs1766	88	104	127	125	111	142
ECs1767	710	910	1158	745	704	790
ECs1768	352	318	739	179	147	281
ECs1769	130	112	278	83	76	120
ECs1770	246	233	433	197	157	256
ECs1771	54	59	110	55	43	70
ECs1772	1003	1163	1759	1394	1370	1657
ECs1773	23513	25552	41967	18242	18925	24083
ECs1774	132	177	220	174	237	210
ECs1775	452	456	709	838	809	870
ECs1776	424	459	625	771	692	930
ECs1777	53	56	76	63	60	65
ECs1778	206	250	390	334	307	301
ECs1779	2254	2731	4205	2856	2979	3616
ECs1780	1659	1753	2783	2934	2689	3253
ileZ3	870	971	1384	830	746	904
argO3	1399	1646	2221	1408	1279	1539
ECs1781	2475	2591	2988	2923	2825	3280
ECs1782	65	42	112	102	69	63
ECs1783	134	106	222	147	87	63
ECs1784	161	93	181	204	101	125
ECs1785	185	230	223	229	161	144
ECs1786	240	228	251	202	195	146
ECs1787	0	0	0	0	0	0
ECs1788	100	89	97	119	98	74
ECs1789	183	138	229	203	175	160
ECs1790	39	22	50	38	26	26
ECs1791	207	165	209	233	171	122
ECs1792	231	199	247	229	206	187
ECs1793	285	246	213	143	158	172
ECs1794	13	3	5	1	9	4
ECs1795	395	265	330	228	161	121
ECs1796	15	1	16	10	4	7
ECs1797	40	13	25	3	9	10
ECs1798	77	48	44	54	37	22
ECs1799	34	6	5	6	8	6
ECs1800	269	238	271	252	170	101
ECs1801	222	149	214	152	116	89
ECs1802	204	96	170	121	95	98
ECs1803	601	442	594	350	225	181
ECs1804	30	12	11	9	10	6
ECs1805	156	110	83	43	63	46
ECs1806	2316	2072	1360	1525	1586	1270
ECs1807	629	655	389	425	520	278
ECs1808	235	205	102	210	214	123
ECs1809	304	357	315	256	222	151
ECs1810	51	44	37	47	35	17
ECs1811	43	41	52	80	50	35
ECs1812	1117	1236	921	690	668	358
ECs1813	990	995	667	845	785	470
ECs1814	4699	5408	3944	1388	1304	658
ECs1815	773	579	647	557	366	206
ECs1816	271	259	173	227	154	120
ECs1817	655	691	484	416	364	235
ECs1818	9901	9864	9262	7641	8728	11262
ECs1819	326	266	311	289	368	620
ECs1820	613	686	807	813	744	830
ECs1821	607	716	518	716	700	394
ECs1822	137	133	116	253	230	149
ECs1823	88	88	59	118	126	64
ECs1824	2403	2817	2021	1915	1790	914
ECs1825	5602	5248	4329	2915	2037	1392
ECs1826	806	867	582	733	501	353
ECs1827	115	82	22	68	75	44
ECs1828	236	294	169	273	278	118
ECs1829	10109	13488	7197	650	601	358
ECs1830	11028	14296	7453	273	231	129
ECs1831	5583	7065	4287	102	99	40
ECs1832	10046	11326	6860	1769	1937	1307
ECs1833	12597	14335	10748	2799	2460	1478
ECs1834	12119	16382	11004	2793	2645	1512
ECs1835	11926	17739	8834	1238	1255	782
ECs1836	38014	51937	30237	986	1099	691
ECs1837	2640	3652	2495	194	187	140
ECs1838	7769	6851	3867	4755	5392	3835
ECs1839	10945	12514	8355	8256	7449	4180
ECs1840	3873	4210	3057	3376	2897	1746
ECs1841	29838	30431	29842	56031	50283	39143
ECs1842	6010	6068	4947	4998	4244	2697
ECs1843	5850	6535	4448	3841	3538	2044
ECs1844	11715	10318	8948	7729	5300	3207
ECs1845	6837	8425	5752	5957	5811	3321
ECs1846	104562	110342	86388	130201	118152	71272
ECs1847	24805	33878	23117	4873	4271	3652
ECs1848	4444	5429	3959	8023	7539	3960
ECs1849	36446	38978	26044	10848	10062	5620
ECs1850	11246	13464	8159	10193	10816	6113
ECs1851	11558	11000	7566	5397	5047	2909
ECs1852	8659	10143	6889	8030	7634	4336
ECs1853	16817	19590	13077	16920	14926	8697
ECs1854	14508	14305	12218	16717	15884	8734
ECs1855	4673	4487	3535	3955	3345	1828
ECs1856	23717	35828	14424	10234	8618	3872
ECs1857	4837	6081	3473	7808	7231	4184
ECs1858	12283	13591	11323	4848	4416	2387
ECs1859	106572	127419	86994	85650	79797	46900
ECs1860	48684	64250	41315	1632	1578	828
ECs1861	76067	84865	58686	64383	58920	34217
ECs1862	470	518	551	537	520	374
ECs1863	406	441	368	344	299	213
ECs1864	931	936	722	896	726	564
ECs1865	545	547	418	420	367	251
ECs1866	1270	1244	949	1134	996	565
ECs1867	3814	3588	2638	2789	2566	1701
ECs1868	4825	5913	3868	4269	3774	2159
ECs1869	2236	2276	1344	1853	1793	1331
ECs1870	3512	3689	2600	3410	2835	1682
ECs1871	10337	12396	7653	8479	7994	5027
ECs1872	5471	6966	4496	5286	5129	3084
ECs1873	3422	4143	7038	1941	1890	1137
ECs1874	14638	19377	39585	4726	4538	3129
ECs1875	6377	5586	20667	531	465	415
ECs1876	5536	5570	12696	1871	1570	932
ECs1877	4394	4150	8133	214	270	289
ECs1878	2403	2185	4419	154	156	130
ECs1879	4600	5037	8894	307	379	349
ECs1880	2493	3054	2796	1053	943	800
ECs1881	8479	9097	8630	2506	2405	1798
ECs1882	845	978	925	398	334	239
ECs1883	1095	1215	1344	535	560	298
ECs1884	538	468	400	174	194	134
ECs1885	1911	1919	1625	651	655	404
ECs1886	118	121	103	57	59	30
ECs1887	134	106	151	171	144	85
ECs1888	46	58	50	49	36	25
ECs1889	44	24	27	49	35	15
ECs1890	154	146	130	76	106	64
ECs1891	271	267	191	193	160	75
ECs1892	101	88	71	76	65	62
ECs1893	128	107	93	91	77	34
ECs1894	420	464	353	344	268	139
ECs1895	897	927	663	655	528	279
ECs1896	66	94	61	23	35	10
ECs1897	72	90	81	114	96	46
ECs1898	186	216	178	343	243	148
ECs1899	2016	2317	1981	1578	1483	925
ECs1900	4873	3954	3058	1673	1518	953
ECs1901	3881	2699	2262	1364	1286	793
ECs1902	13547	14439	13581	8352	7973	6463
ECs1903	55284	70739	44456	39318	36058	21194
ECs1904	6742	7220	5703	3863	3521	2705
ECs1905	3735	4142	3007	2156	2144	1378
ECs1906	843	985	674	951	780	432
ECs1907	177	171	159	174	108	60
ECs1908	333	262	252	159	112	66
ECs1909	1367	1687	1147	846	630	403
ECs1910	1021	1186	730	801	682	378
ECs1911	11082	11441	9662	9900	8572	4784
ECs1912	12313	13143	11323	19504	16946	10727
ECs1913	6124	6947	5333	2992	2752	1607
ECs1914	20736	22934	16266	13722	11961	7063
ECs1915	56687	58725	39958	54218	53684	30165
ECs1916	2058	2057	1364	2200	2042	1364
ECs1917	1475	1624	1108	730	606	421
ECs1918	3448	3971	4684	2365	2147	2535
ECs1919	1130	1380	1405	661	640	817
ECs1920	4415	6071	3216	1133	967	636
ECs1921	5711	7106	4499	900	776	516
ECs1922	3115	3645	2313	183	153	104
ECs1923	4406	5017	3361	2920	2714	2042
ECs1924	4932	5245	3818	5028	4424	2817
ECs1925	13768	15427	12020	1696	1506	943
ECs1926	2389	1422	1625	1181	915	556
ECs1927	26830	27129	22079	33257	29810	19176
ECs1928	9323	9650	7972	16466	14538	8680
ECs1929	1383	1278	1111	2005	1729	1012
ECs1930	10	15	12	21	16	4
ECs1931	3	0	1	11	10	2
ECs1932	2	4	2	4	3	0
ECs1933	193	230	167	267	181	100
ECs1934	565	578	439	552	537	300
ECs1935	17	20	23	64	45	24
ECs1936	10	11	12	24	6	5
ECs1937	60	64	39	103	89	60
ECs1939	0	0	0	0	0	0
ECs1938	0	0	0	0	0	0
ECs1940	31	28	47	42	27	18
ECs1941	4837	6307	5193	5121	4250	3285
ECs1942	275	321	248	442	390	279
ECs1943	624	692	531	175	174	117
ECs1944	468	474	376	215	167	86
ECs1945	145	132	101	94	89	51
ECs1946	326	435	319	269	244	162
ECs1947	0	0	0	0	0	0
ECs1948	99	81	99	29	26	15
ECs1949	2	2	2	6	2	0
ECs1950	3	3	3	10	5	2
ECs1951	11	12	14	11	8	10
ECs1952	45	29	32	33	25	15
ECs1953	3709	3956	3195	7571	6573	3811
ECs1954	3153	4007	2830	3317	2986	1708
ECs1955	9792	12836	8627	8847	7901	4374
ECs1956	352	337	297	713	544	359
ECs1957	119	89	113	235	172	113
ECs1958	431	325	312	630	408	205
ileZ4	677	770	623	794	671	534
tRNA25	0	0	0	0	0	0
