Gene	RNASeq18MM-1-uP	RNASeq18MM-2-uP	RNASeq18MM-3-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP	RNASeq18LL-1-uP
ECs0192	2197	2556	3357	2021	1818	2210
ECs0193	1747	1874	2219	1066	1057	1265
ECs0194	3079	3484	4047	1712	1638	2031
ECs0195	516	580	835	452	402	439
ECs0196	32014	32107	39707	27512	28701	33772
ECs0197	4279	5376	6651	3320	3064	3425
ECs0198	8017	7979	8835	3509	3812	4684
ECs0199	41572	125117	80256	3816	3245	3999
ECs0200	6945	15799	13563	1330	1162	1323
ECs0201	8779	19980	17651	1831	1568	2024
ECs0202	2435	1883	3742	2317	1700	1810
rrsH	1880	3370	3317	1719	19715	2790
ileV	749	787	1534	2209	2055	2814
alaV	449	485	874	968	1076	1486
rrlH	1449	621	2749	2160	65028	1374
rrfH	6	8	8	3	34	7
aspU	661	868	1284	1158	1285	1845
ECs0203	761	792	1036	2410	2102	2310
ECs0204	1514	1832	2297	3160	2623	2873
ECs0205	4213	4031	6516	4252	3246	3492
ECs0206	2553	2806	4142	3348	3007	3121
ECs0207	137974	162611	221097	93706	89384	105014
ECs0208	4806	5272	8218	2045	1958	2310
ECs0209	3016	3547	4968	2708	2444	2852
ECs0210	2162	2377	3588	2585	2181	2709
ECs0211	5197	5985	8024	4828	4524	5156
aspV	424	406	477	424	449	526
ECs0212	37	37	50	35	37	67
ECs0213	25	14	31	41	30	36
ECs0214	30	18	50	66	70	59
ECs0215	1	11	9	10	1	13
ECs0216	25	28	25	39	30	22
ECs0217	484	574	612	511	460	626
ECs0218	690	717	822	651	714	934
ECs0219	31	32	52	37	30	22
ECs0220	202	154	180	100	120	202
ECs0221	145	157	197	121	103	146
ECs0222	28	12	25	14	39	35
ECs0223	499	338	396	257	294	390
ECs0224	228	223	335	235	194	198
ECs0225	658	823	911	626	561	679
ECs0226	119	125	212	87	69	93
ECs0227	268	212	262	157	161	241
ECs0228	176	178	213	110	109	146
ECs0229	547	643	788	410	410	469
ECs0230	225	249	293	190	180	208
ECs0231	448	427	714	531	365	436
ECs0232	64	75	89	77	81	77
ECs0233	298	306	450	398	282	384
ECs0234	166	223	355	183	166	215
ECs0235	14	9	14	13	9	2
ECs0236	232	197	326	170	132	163
ECs0237	952	776	960	782	957	1303
ECs0238	114	153	173	139	105	85
ECs0239	117	140	154	137	137	167
ECs0240	15	12	42	23	22	25
ECs0241	99	117	212	154	128	123
ECs0242	685	662	839	358	435	571
ECs0243	6	6	16	3	5	6
ECs0244	23	17	45	38	28	24
ECs0245	168	166	264	163	128	128
ECs0246	1491	1754	2446	771	742	823
ECs0247	2159	2383	3151	426	292	277
ECs0248	5017	5187	5453	1205	1301	1494
ECs0249	4550	4813	5934	2205	2116	2800
ECs0250	3578	4558	5567	2782	2701	3259
ECs0251	6469	7536	10565	10112	9465	11462
ECs0252	1133	1324	1920	1117	890	1225
ECs0253	2268	2513	3497	1440	1321	1721
ECs0254	272	255	385	183	155	197
ECs0255	515	631	794	284	250	326
ECs0257	225	185	246	142	178	198
ECs0256	72	79	95	99	79	60
ECs0258	724	665	973	565	567	602
ECs0259	237	312	467	201	194	236
ECs0260	204	195	325	148	164	154
ECs0261	113	149	167	137	105	118
ECs0262	28	44	43	41	26	42
ECs0263	679	857	1071	868	808	888
ECs0264	33307	37641	48800	19748	17967	20825
ECs0265	12897	9613	20396	20160	16422	18306
ECs0266	3582	3231	5259	4587	3967	4637
ECs0267	9442	9975	13862	7315	6006	4559
ECs0268	422	456	443	767	710	463
ECs0269	5893	6068	6699	4151	4319	5332
ECs0270	7179	7158	7981	4443	4432	5253
thrW	279	324	368	249	213	256
ECs0271	2661	2889	3188	2927	2673	2947
ECs0272	156	164	116	131	124	116
ECs0273	2139	2417	3758	1883	1998	2472
ECs0274	15180	18621	26008	12251	11916	15176
ECs0275	58	81	83	102	111	154
ECs0276	71	74	99	257	236	205
ECs0277	1534	1782	1048	1023	1101	611
ECs0278	27	17	36	20	21	6
ECs0279	19	18	49	8	5	5
ECs0280	75	106	156	76	67	66
ECs0281	64	81	112	60	58	59
ECs0282	28	28	59	43	41	41
ECs0283	23	31	44	50	14	41
ECs0284	123	130	236	230	143	184
ECs0285	2971	3065	4745	4349	3421	4333
ECs0286	0	4	2	2	2	3
ECs0287	92	83	139	62	54	71
ECs0288	101	119	162	123	104	86
ECs0289	381	365	625	282	246	223
ECs0290	17	21	34	10	4	6
ECs0291	13	8	23	7	5	7
ECs0292	6	8	8	5	0	4
ECs0293	13	16	18	6	13	11
ECs0294	9	0	6	2	0	5
ECs0295	24	24	51	14	10	9
ECs0296	240	269	334	256	215	257
ECs0297	192	174	327	186	149	155
ECs0298	62	41	105	51	33	60
ECs0299	22	10	36	23	17	19
ECs0300	235	236	261	319	450	577
ECs0301	34	28	47	54	41	40
ECs0302	268	244	321	299	195	252
ECs0303	1020	975	1523	972	691	927
ECs0304	386	424	735	980	817	1004
ECs0305	732	907	1288	724	626	808
ECs0306	215	261	342	145	141	160
ECs0307	12	13	14	7	13	9
ECs0308	8	6	7	14	10	15
ECs0309	912	1052	1193	1224	1044	1368
ECs0310	211	191	336	144	94	136
ECs0311	415	355	422	221	206	294
ECs0312	55	66	78	28	24	33
ECs0313	505	366	550	126	103	160
ECs0314	1805	1197	1504	129	173	210
ECs0315	470	341	322	26	20	50
ECs0316	1264	1315	1217	102	86	77
ECs0317	229	237	354	1351	1027	895
ECs0318	199	194	276	234	187	218
ECs0319	405	459	689	264	274	374
ECs0320	1057	1145	1468	808	884	1109
ECs0321	1498	1487	2342	1079	1076	1815
ECs0322	440	354	744	367	391	851
ECs0323	758	824	1654	898	909	1428
ECs0324	371	374	757	375	394	646
ECs0325	107	79	171	89	66	67
ECs0326	28	14	55	61	42	55
ECs0327	817	611	1326	444	470	611
ECs0328	101	112	132	130	104	103
ECs0329	25	17	6	19	23	43
ECs0330	923	904	830	606	800	943
ECs0331	54	50	100	86	85	81
ECs0332	328	302	570	258	178	200
ECs0333	684	871	1314	612	521	596
ECs0334	577	741	876	691	697	846
ECs0335	240	222	301	129	107	128
ECs0336	595	547	965	648	484	617
ECs0337	2169	2572	4009	1173	968	1216
ECs0338	941	933	1664	301	229	252
ECs0340	35	45	116	50	20	31
ECs0339	0	0	0	0	0	0
ECs0341	0	0	1	0	0	0
ECs0342	1252	1099	2103	98	100	84
ECs0343	347	322	574	256	222	288
ECs0344	282	228	388	97	84	102
ECs0345	479	413	693	219	107	135
ECs0346	134	99	240	110	77	64
ECs0347	8	10	14	14	2	3
ECs0348	3	8	17	16	6	4
ECs0349	18	13	36	17	21	8
ECs0350	30	30	74	54	18	24
ECs0351	67	71	126	55	52	34
ECs0352	118	125	165	106	104	116
ECs0353	103	95	148	100	86	95
ECs0354	7	24	22	25	11	16
ECs0355	60	56	117	108	77	79
ECs0356	0	0	6	9	0	0
ECs0357	1053	909	1057	1653	1774	1591
ECs0358	1576	1275	1116	1715	2221	2309
