FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	60	1	60	66	-1	(-)3xSLv1	NegativeControl	13688	341.395	3.68E+00	3.71E+00	51	49	1.66E+01	0	0	0	0	0	0	-5.68838	0	0	56.2381	52.9067
DATA	61	1	61	0	0	A_07_P008071	b0276	13730.3	341.426	2.32E+01	4.38E+00	76	48	1.64E+01	0	0	0	0	0	0	21.1428	1	1	56.6442	51.9319
DATA	62	1	62	0	0	A_07_P032188	c_2657	13772.3	341.538	3.48E+03	3.48E+02	3104	48	1.66E+01	0	0	0	0	0	0	3172.27	1	1	49.981	52.1717
DATA	63	1	63	0	0	A_07_P044689	Z3024	13814.2	341.503	6.43E+01	7.43E+00	106	49	1.74E+01	0	0	0	0	0	0	58.4457	1	1	43.4829	52.7902
DATA	64	1	64	0	0	A_07_P016020	b1868	13856.7	341.543	9.67E+02	9.68E+01	882	49	1.60E+01	0	0	0	0	0	0	877.863	1	1	49.0553	51.8852
DATA	65	1	65	66	-1	(-)3xSLv1	NegativeControl	13899.6	341.437	3.71E+00	3.74E+00	52	48	1.62E+01	0	0	0	0	0	0	-5.1341	0	0	65	51.6487
DATA	66	1	66	0	0	A_07_P030537	c_3224	13941.8	341.172	5.24E+01	6.44E+00	103.5	48	1.60E+01	0	0	0	0	0	0	47.3125	1	1	44.2664	52.0905
DATA	67	1	67	0	0	A_07_P048583	Z2884	13983.6	341.323	8.54E+01	9.33E+00	132.5	50	1.69E+01	0	0	0	0	0	0	76.9089	1	1	47.2709	53.2001
DATA	68	1	68	0	0	A_07_P038247	c_1489	14026.6	341.437	1.18E+01	3.95E+00	65.5	47	1.64E+01	0	0	0	0	0	0	10.6078	1	0	56.4415	51.3987
DATA	69	1	69	0	0	A_07_P047303	Z5689	14068.5	341.731	2.39E+02	2.42E+01	261	48	1.73E+01	0	0	0	0	0	0	213.977	1	1	47.6331	52.5481
