FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	46	1	46	66	-1	(-)3xSLv1	NegativeControl	13095.8	4448.25	2.93E+01	7.46E+00	101	47	1.62E+01	0	0	0	1	0	0	34.1456	1	0	37.2365	51.4039
DATA	47	1	47	66	-1	(-)3xSLv1	NegativeControl	13137.6	4448.48	2.14E+01	7.18E+00	93	49	1.66E+01	0	0	0	1	0	0	24.9474	1	0	56.6442	52.6396
DATA	48	1	48	0	0	A_07_P053270	ECs3225	13179.4	4448.69	9.44E+02	9.47E+01	1126	50	1.69E+01	0	0	0	0	0	0	1103.07	1	1	48.5859	53.0371
DATA	49	1	49	0	0	A_07_P003289	b2105	13222.2	4448.43	1.52E+04	1.52E+03	16637	49	1.66E+01	0	0	0	0	0	0	17735.2	1	1	56.6442	52.3989
DATA	50	1	50	0	0	A_07_P011538	b4161	13264.1	4448.55	1.93E+04	1.93E+03	20300.5	49	1.82E+01	0	0	0	0	0	0	22541.8	1	1	50.2097	53.9225
DATA	51	1	51	0	0	A_07_P054262	ECs2060	13306.8	4448.66	1.30E+02	1.47E+01	227	49	1.73E+01	0	0	0	0	0	0	152.21	1	1	48.3494	53.2678
DATA	52	1	52	0	0	A_07_P035485	c_1914	13349.1	4448.5	4.27E+03	4.27E+02	4739	49	1.71E+01	0	0	0	0	0	0	4984.92	1	1	49.5203	53.1502
DATA	53	1	53	66	-1	(-)3xSLv1	NegativeControl	13391.8	4448.1	6.81E+00	6.87E+00	64	50	1.74E+01	0	0	0	0	0	0	-9.06889	0	0	38.2985	54.0662
DATA	54	1	54	0	0	A_07_P007191	b1251	13433.6	4448.57	5.07E+03	5.07E+02	5754	50	1.67E+01	0	0	0	0	0	0	5896.68	1	1	48.8211	53.3209
DATA	55	1	55	0	0	A_07_P011767	b2924	13476.2	4448.5	9.25E+04	9.25E+03	101888	51	1.77E+01	0	0	0	0	0	0	107414	1	1	56.8461	54.3265
DATA	56	1	56	0	0	A_07_P044636	Z2991	13518.4	4448.52	2.56E+02	2.65E+01	364.5	49	1.72E+01	0	0	0	0	0	0	296.537	1	1	47.2709	53.0035
DATA	57	1	57	0	0	A_07_P055808	ECs2940	13560.7	4448.61	7.05E+02	7.09E+01	851.5	49	1.81E+01	0	0	0	0	0	0	814.892	1	1	49.4045	53.9859
DATA	58	1	58	0	0	A_07_P040530	c_1247	13603.2	4448.55	6.89E+00	6.95E+00	64	50	1.72E+01	0	0	0	0	0	0	-9.15088	0	0	56.7452	53.6494
DATA	59	1	59	66	-1	(-)3xSLv1	NegativeControl	13645.9	4448.48	3.71E+01	7.90E+00	109.5	49	1.69E+01	0	0	0	1	0	0	42.6065	1	1	36.6159	53.0282
DATA	60	1	60	66	-1	(-)3xSLv1	NegativeControl	13687.9	4448.56	6.94E+00	7.00E+00	63.5	50	1.72E+01	0	0	0	0	0	0	-5.34594	0	0	56.2381	54.0816
DATA	61	1	61	0	0	A_07_P008071	b0276	13730.2	4448.55	1.12E+01	7.12E+00	82.5	51	1.78E+01	0	0	0	0	0	0	12.7809	1	0	56.7452	54.0007
DATA	62	1	62	0	0	A_07_P032188	c_2657	13772.3	4448.61	3.22E+03	3.22E+02	3577.5	51	1.78E+01	0	0	0	0	0	0	3649.96	1	1	49.8662	54.1427
DATA	63	1	63	0	0	A_07_P044689	Z3024	13813.9	4448.83	5.97E+01	9.28E+00	137	51	1.75E+01	0	0	0	0	0	0	67.3245	1	1	43.3509	54.3333
DATA	64	1	64	0	0	A_07_P016020	b1868	13856.9	4448.82	4.87E+02	4.92E+01	602.5	49	1.65E+01	0	0	0	0	0	0	545.367	1	1	48.8211	52.6678
DATA	65	1	65	66	-1	(-)3xSLv1	NegativeControl	13899.5	4448.51	7.12E+00	7.19E+00	74.5	50	1.67E+01	0	0	0	0	0	0	0.642989	0	0	56.8461	53.2569
DATA	66	1	66	0	0	A_07_P030537	c_3224	13941.5	4448.69	6.62E+01	9.81E+00	151	50	1.73E+01	0	0	0	0	0	0	73.3163	1	1	48.3494	53.6199
DATA	67	1	67	0	0	A_07_P048583	Z2884	13983.6	4448.86	2.19E+02	2.31E+01	302	50	1.72E+01	0	0	0	0	0	0	240.515	1	1	48.3494	53.1367
DATA	68	1	68	0	0	A_07_P038247	c_1489	14025.9	4447.65	7.27E+00	7.34E+00	75	48	1.60E+01	0	0	0	0	0	0	2.75732	0	0	39.1858	51.6241
DATA	69	1	69	0	0	A_07_P047303	Z5689	14068.4	4448.68	6.11E+02	6.15E+01	733.5	49	1.69E+01	0	0	0	0	0	0	661.535	1	1	48.7036	52.7581
DATA	70	1	70	0	0	A_07_P048903	ABH-0244104	14110.3	4448.28	2.18E+01	7.76E+00	91	49	1.70E+01	0	0	0	0	0	0	23.4371	1	0	39.622	53.1596
DATA	71	1	71	66	-1	(-)3xSLv1	NegativeControl	14153.5	4448.55	1.36E+01	7.64E+00	79	50	1.73E+01	0	0	0	1	0	0	14.4984	1	0	57.0474	53.4652
DATA	72	1	72	0	0	A_07_P033198	c_3599	14195.9	4448.54	1.28E+02	1.49E+01	198	49	1.74E+01	0	0	0	0	0	0	135.052	1	1	47.7532	53.1248
DATA	73	1	73	0	0	A_07_P038108	c_1453	14237.9	4448.75	9.29E+02	9.32E+01	1019	50	1.83E+01	0	0	0	0	0	0	972.49	1	1	48.8211	54.4354
DATA	74	1	74	0	0	A_07_P006827	b1175	14280.1	4448.94	1.69E+03	1.69E+02	1759.5	49	1.83E+01	0	0	0	0	0	0	1754.76	1	1	47.6331	53.7008
DATA	75	1	75	0	0	A_07_P006282	b2862	14322.9	4449.34	1.58E+01	7.96E+00	81.5	48	1.71E+01	0	0	0	0	0	0	16.2218	1	0	38.8923	53.0393
DATA	76	1	76	0	0	A_07_P056833	ECs0833	14364.7	4449.06	4.14E+02	4.21E+01	479	49	1.69E+01	0	0	0	0	0	0	420.618	1	1	48.1118	52.7031
