"subject"	"query.name"	"logFC.x"	"logFC.y"	"t"	"P.Value"	"adj.P.Val"	"B"
"32"	"ECs0023"	"A_07_P049121"	0.211768745734426	0.534494127	1.803174358	0.113065743	0.164774477	-5.535328966
"33"	"ECs0023"	"A_07_P059391"	0.414146725539073	0.534494127	1.803174358	0.113065743	0.164774477	-5.535328966
"34"	"ECs0026"	"A_07_P010803"	1.42293632144683	1.384149815	15.86630519	7.1e-07	7.28e-06	6.142775634
"35"	"ECs0027"	"A_07_P010806"	0.905729684257629	1.091161434	15.97805928	6.76e-07	7.07e-06	6.364785695
"36"	"ECs0028"	"A_07_P010811"	0.301278219224292	0.397762477	5.229744721	0.001100824	0.002895093	-1.937237811
"37"	"ECs0029"	"A_07_P010817"	0.438087437259088	0.21331629	2.515265702	0.039107967	0.065876641	-5.866276857
"38"	"ECs0030"	"A_07_P010823"	0.743013007077701	0.328527048	3.276348403	0.012981061	0.025059136	-4.525705257
"39"	"ECs0031"	"A_07_P010829"	0.557027143664443	0.195794911	1.653116109	0.140989212	0.198635227	-6.915356716
"40"	"ECs0031"	"A_07_P051860"	0.503554325275271	0.195794911	1.653116109	0.140989212	0.198635227	-6.915356716
"41"	"ECs0031"	"A_07_P062890"	0.452836111726698	0.195794911	1.653116109	0.140989212	0.198635227	-6.915356716
"42"	"ECs0032"	"A_07_P010831"	0.828763324352118	0.371490096	5.463296908	0.000850157	0.002309939	-1.560995236
"43"	"ECs0033"	"A_07_P010837"	0.576394388280568	0.397863655	4.071783041	0.004440944	0.009750808	-3.17931906
"44"	"ECs0034"	"A_07_P010842"	-0.203149700122507	-0.684518089	-2.835297462	0.024416628	0.043922604	-4.981397916
"45"	"ECs0035"	"A_07_P010846"	-5.16555888543309	-5.401471009	-42.4190342	6.34e-10	1.09e-07	13.80071734
"46"	"ECs0036"	"A_07_P010855"	-5.35941238123311	-5.321711727	-47.13239796	2.97e-10	8.58e-08	14.55602395
"47"	"ECs0037"	"A_07_P058876"	-3.14509288281524	-3.764010199	-15.96542607	6.79e-07	7.09e-06	6.689917859
"48"	"ECs0037"	"A_07_P048486"	-2.98951513421281	-3.764010199	-15.96542607	6.79e-07	7.09e-06	6.689917859
"49"	"ECs0037"	"A_07_P035426"	-2.96486432089663	-3.764010199	-15.96542607	6.79e-07	7.09e-06	6.689917859
"50"	"ECs0037"	"A_07_P010261"	-3.00685526332756	-3.764010199	-15.96542607	6.79e-07	7.09e-06	6.689917859
"51"	"ECs0038"	"A_07_P010863"	-0.229538984327826	-2.051776822	-9.272312938	2.9e-05	0.000128782	2.844075545
"52"	"ECs0039"	"A_07_P010867"	-0.0972525538059398	0.398598786	0.793970426	0.452520704	0.539020412	-6.626180423
"53"	"ECs0040"	"A_07_P035675"	-0.16392829010779	-0.129706651	-1.145311363	0.288630427	0.370186642	-7.205442562
"54"	"ECs0040"	"A_07_P010873"	0.121036498734446	-0.129706651	-1.145311363	0.288630427	0.370186642	-7.205442562
"55"	"ECs0041"	"A_07_P010876"	0.126346370930104	0.348407823	2.772591291	0.02675865	0.04755643	-4.9069003
"56"	"ECs0042"	"A_07_P010884"	0.662052919249079	0.800881651	6.985413037	0.000185918	0.000630689	0.46885852
